"ID","Session Type","Session Title","Status","Response (Custom Answers)"
"8s4g5qj3oq","Talk","Textbooks that run: interactive, zero-install CS education in the browser","Approved","Main track"
"4svti9mp47","Lightning Talk","Fork Around and Find Out: How I Built a GNOME Extension Used by 200K+ People","Approved","Main track"
"a45o8u74jv","Lightning Talk","Reverse Engineering the PAN QR Code","Approved","Security"
"5jvkd5u7mk","Talk","Physics at 60fps","Approved","Main track"
"0le8m0bk3i","Lightning Talk","Bypassing Android MTP: pushing a native C++ daemon via ADB for fast storage analysis","Approved","Android Open Source Project (AOSP)"
"bb06npb4u0","Lightning Talk","Launcher3 Internals: Understanding Android's Home Screen, Google Feed Integration, and Custom -1 Panels","Approved","Android Open Source Project (AOSP)"
"d8b9uvdntg","Talk","Bend, don't Break. Modern Techniques for Flexibility in Strongly Typed Functional Programming","Approved","Compilers, Programming Languages and Systems"
"8dso3avp9l","Talk","How exactly can we teach students the right FOSS etiquette?","Approved","Main track"
"062rh0sg2r","Talk","From Pull Requests to Patients: Building Open Healthcare Infrastructure in the Open","Approved","Main track"
"8ne6l7qetc","Lightning Talk","Escaping Cron Hell: Building and Contributing to Dagu, an Open Source Workflow Orchestrator","Approved","Cloud & DevOps"
"32f9jjkob0","Talk","Build your own open source keyboard with ZMK/QMK","Approved","Open Hardware"
"an3ot6c0v0","Talk","Shaili Sanchaya: Reviving Indic Typography from Archival Metadata","Approved","Open Design"
"en28h8l81s","Lightning Talk","Ctrl+F for 34 Years of India's GovTech (Building a Public Commons for India's Digital Governance History)","Approved","Documentation & Technical Writing"
"96goef7o3q","Lightning Talk","What can we do about open weight models enabling non consensual intimate imagery?","Approved","Main track"
"9md1vo93n1","Lightning Talk","Simulate Before You Move: Building Open-Source CI/CD Pipelines for Autonomous Systems","Screening","Cloud & DevOps"
"clniq3em1j","Lightning Talk","Why Documentation Shouldn't Feel Like Plain Text","Approved","Documentation & Technical Writing"
"bk39jtqjkk","Talk","Tiles: Own your AI with open models and decentralized protocols","Approved","Main track"
"8fc48rj2g2","Lightning Talk","Tackling core lifecycle management in heterogeneous SoCs","Approved","Real Time Operating Systems (RTOS)"
"699fhigvkl","Workshop","Fun and Profit with OCaml","Approved","Main Track"
"658mrgdc1b","Lightning Talk","FQ-PIE: Contributing to Open Standards by Contributing to FOSS","Approved","Main track"
"eofh2kev0d","Lightning Talk","Loops to real time","Approved","Real Time Operating Systems (RTOS)"
"2bfslonj72","Talk","From Institution to Community: Building COSH and a Culture of Open Source","Approved","Main track"
"buld8t7ji2","Workshop","Art - meet Math - meet Code","Approved","Main track"
"dmsksuju3d","Talk","Offline-first mobile apps on Frappe: a metadata-driven Flutter SDK with server-side control","Approved","Main track"
"9cl0lf8t0j","Talk","Developer Experience is the New Open Source Contribution. Here's Why","Approved","Documentation & Technical Writing"
"09lln6s8nq","Talk","PeerDAS: Erasure Coding When You Can't Trust the Storage","Approved","Compilers, Programming Languages and Systems"
"6565fh5jve","Lightning Talk","Open, decentralized language assessment software for the public school system","Approved","Main track"
"8knf7bja7g","Talk","Navigating the FOSS Contribution Journey","Screening","Main track"
"db4ufng84v","Talk","Documentation That Drives OSS Adoption: Lessons From Bruno","Approved","Documentation & Technical Writing"
"7a72fue6r4","Workshop","Building AI agents end-to-end: A hands-on workshop","Approved","Main track"
"7vvvus5cp0","Talk","Calibrate: A framework for continuously evaluating and improving AI agents within non-profits","Approved","Main track"
"ck74mbe1ds","Talk","How FOSS and AI are Changing Government Workflows at NHAI","Approved","Main track"
"5h4d5uhuro","Lightning Talk","Indigenous, High-Performance, Safety-Critical RTOS","Approved","Real Time Operating Systems (RTOS)"
"beqsttjcbn","Lightning Talk","Under the Hood of Android , What Really Happens When You Open an App?","Approved","Android Open Source Project (AOSP)"
"6aasju7noq","Lightning Talk","Benchmarking can be hard, here's why we're still creating a new one for OCaml","Approved","Compilers, Programming Languages and Systems"
"5i25u6dfnv","Lightning Talk","Cilium Network Policy Anti-Patterns I Learned the Hard Way","Approved","Cloud & DevOps"
"2sfmvkhrrg","Lightning Talk","From Architecture to Tasks: Designing Real-Time MCU Firmware in Heterogeneous APU-MCU Systems","Approved","Real Time Operating Systems (RTOS)"
"0k2f61lkrj","Talk","Repub: Launching the Open Post-Processing Workflow for Digital Archiving in India","Approved","Main track"
"33ogils4n5","Lightning Talk","What LLVM Does Differently When The Target Is CPU VS GPU ","Approved","Compilers, Programming Languages and Systems"
"8gv11r0ga6","Lightning Talk","Deterministic Vision: Offloading Real-Time Camera Pipelines to FreeRTOS on Heterogeneous SoCs","Approved","Real Time Operating Systems (RTOS)"
"fefrvv4n7q","Talk","Flexibility is complexity in disguise: Building frappe-ui for 10+ Products","Approved","Main track"
"299lpkmuqh","Talk","PythonBPF - now with loops, custom funcs, and more maps!","Approved","Compilers, Programming Languages and Systems"
"dojgnoj06v","Lightning Talk","Volume Controller using Knob (Potentiometer)","Approved","Android Open Source Project (AOSP)"
"ccd7lpdj1o","Lightning Talk","Don't Model Every Leaf: The Magic of Blender Geometry Nodes","Approved","Main track"
"84efmkj2n3","Lightning Talk","Property-based testing for UIs","Approved","Main track"
"8cbv4mpi6o","Lightning Talk","LGTM Is Not A Theorem","Approved","Compilers, Programming Languages and Systems"
"av9de7vsu8","Lightning Talk","I Deleted Production With helm upgrade. Here's the Exact Chain of Events.","Approved","Cloud & DevOps"
"dglc657qff","Talk","Being Bayesian: Stress-testing India's Loudest Stories with FOSS & Open Data","Approved","Main track"
"0dkd3hateq","Lightning Talk","It takes a village to raise a repo","Approved","Main track"
"3akfugngg7","Lightning Talk","One Language, All GPU: How Julia Targets different GPU backends from a Single Kernel.","Approved","Compilers, Programming Languages and Systems"
"1vuu1c1ma7","Talk","KaiOS Design Notes: UX observations from a feature phone","Approved","Open Design"
"0p3ti1uq2b","Talk","Rust Is Not an HDL, So I Built a Tiny One.","Approved","Compilers, Programming Languages and Systems"
"9qjtkvb2gi","Talk","Formal Verification: An Introduction through Elementary Arithmetic","Approved","Compilers, Programming Languages and Systems"
"ckem4dj2uv","Workshop","Adding places to OpenStreetMap (outdoor workshop)","Approved","Main track"
"c9kecg3h9i","Talk","404: Empathy Not Found","Approved","Documentation & Technical Writing"
"3ltumiotgu","Lightning Talk","Living With a DeGoogled Phone: Privacy, Trade-offs, and Daily Use","Approved","Android Open Source Project (AOSP)"
"d6mltdb2aq","Talk","Remote Execution by Design: Sandboxing AI Agents with gVisor & Pipelock","Approved","Cloud & DevOps"
"0hgfa2n1kg","Talk","Porting Pipecat to Rust: The story of Rustvani-Fast Cheap Voice Ai for Bharat","Approved","Main track"
"5pig94v0sa","Lightning Talk","Opening the Archives: Building Digital Infrastructure for Public Participation in Archival Records","Approved","Main track"
"2rg09ct89v","Lightning Talk","15 Years, One Server, 8GB RAM and 500,000 Linux Learners: Lessons from Running Webminal","Approved","Cloud & DevOps"
"41r3mau7ga","Talk","Beyond HIDL: Modernizing Android HALs with Rust & Stable AIDL","Approved","Android Open Source Project (AOSP)"
"8i8q6qinin","Lightning Talk","Documentation Is Boring. Until Someone Can't Ship Without Them.","Screening","Documentation & Technical Writing"
"2pgiaujhvm","Lightning Talk","Hacking India's Largest Exam System","Approved","Security"
"4v0vd3g01j","Lightning Talk","Inside Android Keyboards: Building an Open Source IME","Approved","Android Open Source Project (AOSP)"
"0rlqb6s6lb","Talk","Making Desktops Expressive: Introducing Bézier Curves to GTK","Approved","Open Design"
"bd8r6psbr5","Lightning Talk","Autoscaling vLLM and Distributed Embeddings on Open Infrastructure","Screening","Cloud & DevOps"
"c6qld2dc77","Lightning Talk","Bad Internet, Good Software","Approved","Main track"
"cmc3ntipr8","Lightning Talk","When NO_PROXY Lies: Finding an IPv4-Mapped IPv6 Patch Bypass in Axios","Approved","Security"
"44no6v1fbb","Talk","Tracking-free and hackable network cameras - powered by libre software","Approved","Main track"
"2git32fbo6","Talk","Surviving as an Open Source Startup : Xeneva","Approved","Main track"
"dh2p08bdsp","Talk","Automate your home without selling it to corpos","Screening","Open Hardware"
"d9fj5h95m7","Workshop","Self-Hosting 101: A real-time self-hosting workshop","Approved","Main track"
